time point	time (ms)
1564	562.9883
1565	563.4766
1566	563.9648
1567	564.4531
1568	564.9414
1569	565.4297
1570	565.918
1571	566.4063
1572	566.8945
1573	567.3828
1574	567.8711
1575	568.3594
1576	568.8477
1577	569.3359
1578	569.8242
1579	570.3125
1580	570.8008
1581	571.2891
1582	571.7773
1583	572.2656
1584	572.7539
1585	573.2422
1586	573.7305
1587	574.2188
1588	574.707
1589	575.1953
1590	575.6836
1591	576.1719
1592	576.6602
1593	577.1484
1594	577.6367
1595	578.125
1596	578.6133
1597	579.1016
1598	579.5898
1599	580.0781
1600	580.5664
1601	581.0547
1602	581.543
1603	582.0313
1604	582.5195
1605	583.0078
1606	583.4961
1607	583.9844
1608	584.4727
1609	584.9609
1610	585.4492
1611	585.9375
1612	586.4258
1613	586.9141
1614	587.4023
1615	587.8906
1616	588.3789
1617	588.8672
1618	589.3555
1619	589.8438
1620	590.332
1621	590.8203
1622	591.3086
1623	591.7969
1624	592.2852
1625	592.7734
1626	593.2617
1627	593.75
1628	594.2383
1629	594.7266
1630	595.2148
1631	595.7031
1632	596.1914
1633	596.6797
1634	597.168
1635	597.6563
1636	598.1445
1637	598.6328
1638	599.1211
1639	599.6094
1640	600.0977
1641	600.5859
1642	601.0742
1643	601.5625
1644	602.0508
1645	602.5391
1646	603.0273
1647	603.5156
1648	604.0039
1649	604.4922
1650	604.9805
1651	605.4688
1652	605.957
1653	606.4453
1654	606.9336
1655	607.4219
1656	607.9102
1657	608.3984
1658	608.8867
1659	609.375
1660	609.8633
1661	610.3516
1662	610.8398
1663	611.3281
1664	611.8164
1665	612.3047
1666	612.793
1667	613.2813
1668	613.7695
1669	614.2578
1670	614.7461
1671	615.2344
1672	615.7227
1673	616.2109
1674	616.6992
1675	617.1875
1676	617.6758
1677	618.1641
1678	618.6523
1679	619.1406
1680	619.6289
1681	620.1172
1682	620.6055
1683	621.0938
1684	621.582
1685	622.0703
1686	622.5586
1687	623.0469
1688	623.5352
1689	624.0234
1690	624.5117
1691	625
1692	625.4883
1693	625.9766
1694	626.4648
1695	626.9531
1696	627.4414
1697	627.9297
1698	628.418
1699	628.9063
1700	629.3945
1701	629.8828
1702	630.3711
1703	630.8594
1704	631.3477
1705	631.8359
1706	632.3242
1707	632.8125
1708	633.3008
1709	633.7891
1710	634.2773
1711	634.7656
1712	635.2539
1713	635.7422
1714	636.2305
1715	636.7188
1716	637.207
1717	637.6953
1718	638.1836
1719	638.6719
1720	639.1602
1721	639.6484
1722	640.1367
1723	640.625
1724	641.1133
1725	641.6016
1726	642.0898
1727	642.5781
1728	643.0664
1729	643.5547
1730	644.043
1731	644.5313
1732	645.0195
1733	645.5078
1734	645.9961
1735	646.4844
1736	646.9727
1737	647.4609
1738	647.9492
1739	648.4375
1740	648.9258
1741	649.4141
1742	649.9023
1743	650.3906
1744	650.8789
1745	651.3672
1746	651.8555
1747	652.3438
1748	652.832
1749	653.3203
1750	653.8086
1751	654.2969
1752	654.7852
1753	655.2734
1754	655.7617
1755	656.25
1756	656.7383
1757	657.2266
1758	657.7148
1759	658.2031
1760	658.6914
1761	659.1797
1762	659.668
1763	660.1563
1764	660.6445
1765	661.1328
1766	661.6211
1767	662.1094
1768	662.5977
1769	663.0859
1770	663.5742
1771	664.0625
1772	664.5508
1773	665.0391
1774	665.5273
1775	666.0156
1776	666.5039
1777	666.9922
1778	667.4805
1779	667.9688
1780	668.457
1781	668.9453
1782	669.4336
1783	669.9219
1784	670.4102
1785	670.8984
1786	671.3867
1787	671.875
1788	672.3633
1789	672.8516
1790	673.3398
1791	673.8281
1792	674.3164
1793	674.8047
1794	675.293
1795	675.7813
1796	676.2695
1797	676.7578
1798	677.2461
1799	677.7344
1800	678.2227
1801	678.7109
1802	679.1992
1803	679.6875
1804	680.1758
1805	680.6641
1806	681.1523
1807	681.6406
1808	682.1289
1809	682.6172
1810	683.1055
1811	683.5938
1812	684.082
1813	684.5703
1814	685.0586
1815	685.5469
1816	686.0352
1817	686.5234
1818	687.0117
1819	687.5
1820	687.9883
1821	688.4766
1822	688.9648
1823	689.4531
1824	689.9414
1825	690.4297
1826	690.918
1827	691.4063
1828	691.8945
1829	692.3828
1830	692.8711
1831	693.3594
1832	693.8477
1833	694.3359
1834	694.8242
1835	695.3125
1836	695.8008
1837	696.2891
1838	696.7773
1839	697.2656
1840	697.7539
1841	698.2422
